Designator,Footprint,Quantity,Value,LCSC Part #
"Bank_But1, REV_BUT1",Button_RgbLED_SPST_TC002,2,Button_SPST_RGB_5.4mmCap,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C20, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C35, C36, C37, C38, C39, C40, C41, C42, C45, C47, C50, C53, C54, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C7, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C83, C87, C88, C9",C_0402,59,100nF_0402_50V,C307331
"C147, C148, C149, C150",C_0402,4,180pF_0402_25V,C106999
"C152, C153",C_0402,2,820pF_0402_10v,C565563
"C19, C34, C82, C85, C86, C97",C_0402,6,10nF_0402_16V,C15195
"C2, C4, C49, C5, C52, C55, C81, C90",C_0603,8,2.2uF_0603_25V,C57895
"C21, C24",CP_Elec_5x5.3,2,47uF_5x5.3_16V,C134798
"C22, C23",C_0603,2,18pF_0603_50V,C1647
C43,C_1206,1,4.7uF_1206_lowESR,
C44,C_0805,1,22uF_0805_10V,C45783
C46,C_0402,1,1nF_0402_50V,C167632
"C48, C57",C_0402,2,220pF_0402_50V,C327000
"C51, C56, C80",C_0603,3,10uF_0603_10V,C19702
"C67, C68, C70",C_1206,3,22uF_1206_25V,C12891
C69,C_0805,1,10uF_0805_25V,C15850
C84,C_0402,1,100pF_0402_50V,C106200
"D1, D15, D22, D24, D26, D3, D7",SOT23-3_PO132,7,BAT54S,C83574
"D16, D17",D_SOD-123,2,B140HW-7,C134429
J10,Pins_2x05_2.54mm_TH_EurorackPower,1,Eurorack_Power_10pin_Unshrouded,
"J11, J12, J13, J14, J15, J16, J17, J2, J6, J7, J8, J9",EighthInch_PJ398SM,12,3.5mm_Mono_Switched,
J3,Pins_1x04_2.54mm_TH_SWD,1,Conn_01x04,
J4,Pins_2x04_2.54mm_TH,1,Conn_02x04,
L1,L_Taiyo-Yuden_NR-40xx,1,4.7uH_1.2A_40xx,C92936
PLAY_BUT1,Button_RgbLED_SPST_PB615303HL-7mm,1,Button_SPST_RGB_7mmCap,
"POT_LENGTH1, POT_SAMP1, POT_START1",Pot_16mm_NoDet_RV16AF-4A,3,16mm_NoDet_10k,
POT_PITCH1,Pot_16mm_CtrDet_RV16AF-4A,1,16mm_CtrDet_10k,
Q11,SOT23-3_PO132,1,Si2347,
Q12,SOT23-3_PO132,1,Si2318,C14498
"R1, R10, R11, R14, R158, R159, R162, R163, R18, R22, R27, R30, R33, R36, R40, R45, R6, R60, R7, R73, R74, R8",R_0402,22,10k_0402,C60490
"R12, R19, R2, R23, R28, R34, R41, R46, R81",R_0402,9,68Ω_0402,C163455
"R13, R3, R35, R5, R64, R68",R_0402,6,2k_0402,C60488
"R15, R16, R17, R20, R58, R59, R62",R_0402,7,47k_0402,C93943
"R152, R153, R44, R52, R54, R55, R63, R9",R_0402,8,1k_0402,C106235
"R157, R160, R161, R164",R_0402,4,24k_0402,C138026
"R21, R24, R25, R26, R32, R43, R51, R66",R_0402,8,100k_0402,C60491
R29,R_0402,1,20k_0402,C93942
"R31, R37, R49, R53",R_0402,4,1M_0402,C138033
R4,R_0402,1,3k_0402,C137987
"R42, R50",R_0402,2,14k_0402,C327372
"R47, R48",R_0402,2,4.7k_0402,C105871
"R56, R57, R61, R77, R78, R79, R80",R_0402,7,33k_0402,C138003
R65,R_0402,1,31.6k_0402,C276265
R67,R_0402,1,10.2k_0402,C138069
"R70, R71, R75",R_0402,3,330Ω_0402,C105875
SD1,CardSlot_MicroSD_YamaichiPJS008U-3000,1,microSDCon_Vert_TH_PJS008U-3000,
"U1, U10, U11, U12, U14, U15, U16, U3, U5, U8",TSSOP-8_4.4x3mm_Pitch0.65mm,10,TL072H,C4370341
U13,TSOT-23-6,1,AP62200WU-7,C1323282
U2,UFBGA-201_10x10mm_Layout15x15_P0.65mm,1,STM32F746IE,
U4,BGA-54_8.0x8.0mm_P0.8,1,SDRAM_IS42S16400J-6BLI-TR,
U6,SOT23-3_PO132,1,NCP51460SN33,C233715 
U9,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCM3060PW,
V1,SOT23-3_PO132,1,AP2120N-5.0TRG1,C50754
V2,SOT23-3_PO132,1,AP7384-33,
Y1,FA-238,1,16MHz_18pF_FA238,C90906 (12pF)
